,Date,Tweet Id,Text,Username,sentiment
0,2021-02-13 05:26:41+00:00,1360460365398740994,He was and is an illegal alien Shouldn t have been there anyway Thanks JoeBiden,WSpiesC,-1
1,2021-02-13 05:26:33+00:00,1360460328354471939,Colombia EstadosUnidos Iv nDuque JoeBiden L deressociales EE UU no se deja imponer agenda y su prioridad en Colombia ser n los l deres sociales,FlaShBloGLive,0
2,2021-02-13 05:18:47+00:00,1360458375251644418,Amerika Serikat Akan Membuka Sekolah di Tengah Pandemi JoeBiden CDC MencuciTangan Wabah AmerikaSerikat,BacaDiBaBe,0
3,2021-02-13 05:17:56+00:00,1360458163590365184,Remember when you could say Trump is not my president and that was fine now when you Biden isnt my President you get fact checked DonaldTrump SleepyJoe FactCheck NotMyPresident CreepyJoe JoeBiden Sucks,down6with6the6,1
4,2021-02-13 05:17:47+00:00,1360458122163273730,Can someone explain to me how is going to stand up against Xi JingPing if he cannot even stand up to an aide such as TJ Ducklo biden JoeBiden weak Ducklo TJDucklo,shadowreporting,-1
5,2021-02-13 05:16:31+00:00,1360457805979877379,When is JoeBiden going to fire asshole TJDucklo,changeillinois,0
6,2021-02-13 05:16:24+00:00,1360457774002556928,I want my Fauci ouchie Vaccinate educators please CovidVaccine COVID19 POTUS JoeBiden drjillbiden Moderna PfizerVaccine,Amyk5251,0
7,2021-02-13 05:15:33+00:00,1360457560298557442,TJDucklo is just one of the many assholes JoeBiden and have installed in the new White House administration This one just happened to have been exposed,changeillinois,1
8,2021-02-13 05:14:14+00:00,1360457231330906112,JoeBiden is released for his ten minute exercise period before being sedated guards with tranquilliser guns track his movements his child sniffing has reached level 6,chilternbear1,0
9,2021-02-13 05:14:04+00:00,1360457188507086848,JoeBiden can kiss the crack of myblackass until he gives me amp every person in this godawful country 2k month until 80 of us are vaccinated amp what is this WASTING of vaccines Get the single dosage drive around town giving those sh ts out in a m f icecream truck if you MUST,Thotful_Musings,-1
10,2021-02-13 05:10:00+00:00,1360456165885370370,Listen to CAPITOL RIOTERS MENTAL HEALTH ASSESSMENT Trump s Words Mattered Kyle Rittenhouse horrible update by Grandpa Jim cougars lakings kamala berniesanders joebiden veterans hp fsu rsa africa thevoice rhonj,SOAR12steps,-1
11,2021-02-13 05:07:49+00:00,1360455617505157125,Happy Friday NancyPelosi JoeBiden AOC DemocratsAreDestroyingAmerica PelosilovesTrump,acravinhos,1
12,2021-02-13 05:06:38+00:00,1360455317578895364,AungSanSuuKyi CivilDesobedienceMovement SaveMyanmar WhatsHappeningInMyanmar FightForDemocracy CrimeAgainstHumanity HearTheVocieOfMyanmar JoeBiden USPresidentMrJoeBiden,Shainaz86509532,0
13,2021-02-13 05:05:48+00:00,1360455110162268162,Okay That s funny as shit JoeBiden,BocajLaer47,1
14,2021-02-13 05:05:01+00:00,1360454910907719685,Listen to CAPITOL RIOTERS MENTAL HEALTH ASSESSMENT Trump s Words Mattered Kyle Rittenhouse horrible update by Grandpa Jim rizzo bryce miketrout california angels anaheim ohio fox cbs cnn denver delaware joebiden,LaughOutNOW,-1
15,2021-02-13 05:01:00+00:00,1360453899291828225,LasDeHoy EstadosUnidos JoeBiden da un aire de esperanza a migrantes que buscaban asilo en el vecino pa s del norte,DiarioValorMx,0
16,2021-02-13 05:00:49+00:00,1360453854668546048,I LOVE it HOWEVER Mr President has to wear better underwears to keep the print of his package from showing through his jeans Gone Mrs Jill Biden JoeBiden,I_RollSolo,1
17,2021-02-13 05:00:00+00:00,1360453648854052864,Le jour m me de son arriv e la MaisonBlanche JoeBiden avait publiquement averti ses quipes qu il ne tol rerait aucun d rapage,ArabNewsfr,0
18,2021-02-13 05:00:00+00:00,1360453648321495041,D st Lager ass eng deier Ugelee nheet vl icht motiv iert se jo de Fric moien GuantanamoBay JoeBiden M nscherechter VerspriechenDinnSeVill,moien_lu,0
19,2021-02-13 04:58:19+00:00,1360453226697474049,American Vs Biafran social media warlord Come and see AmericaOrTrump AmericaVsBiafran OccupyLekkiTollGate OccupyLekkiTollGate EndSARS USA Biden JoeBidenIsNotMyPresident JoeBiden WhiteHouse TrumpImpeachment,IkennaPrecious3,1
20,2021-02-13 04:55:01+00:00,1360452395663298562,Listen to CAPITOL RIOTERS MENTAL HEALTH ASSESSMENT Trump s Words Mattered Kyle Rittenhouse horrible update by Grandpa Jim rizzo bryce miketrout california angels anaheim ohio fox cbs cnn denver delaware joebiden,SOAR12steps,-1
21,2021-02-13 04:55:01+00:00,1360452394853822469,Listen to CAPITOL RIOTERS MENTAL HEALTH ASSESSMENT Trump s Words Mattered Kyle Rittenhouse horrible update by Grandpa Jim fearthedeer kuwtk australia abc2020 60minutes chester manchester usa london joebiden capitol,LaughOutNOW,-1
22,2021-02-13 04:54:41+00:00,1360452311798136833,So last week Twitter decided to bump up JoeBiden followers to 27 5m now it s back to normal Saying 7 4m These guys are trying to create their own reality,greenguy1492,1
23,2021-02-13 04:53:49+00:00,1360452091131609088,A decent husband JoeBiden,Cancan50,1
24,2021-02-13 04:53:39+00:00,1360452048907472897,JoeBiden DonaldTrump Ban Tiktok,gujratsamachar,0
25,2021-02-13 04:50:34+00:00,1360451274760622087,Mientras JoeBiden anuncia m s y m s compras de vacunas el ViejoMentiroso de palacio nacional se conforma con recibir muestras y promete que ya compr Definitivamente hay niveles y muy marcados LopezEnfermoMental LopezLlegoTuHora ConLasVacunasNO,cucebrio1,0
26,2021-02-13 04:49:17+00:00,1360450953418309633,It would be Best for The Citizens of America If JoeBiden and The DemocraticParty Were to RESIGN and pack up their offices and Go Home Americans cannot survive under this Administration,ewray5,1
27,2021-02-13 04:48:29+00:00,1360450751168798723,Falsus in uno falsus in omnibus D C Deep Cabal State is judged by how they present themselves to the American people We ve put together one of the most extensive and inclusive voter fraud organizations in the history of American politics JoeBiden,BeeyongSison,1
28,2021-02-13 04:47:31+00:00,1360450506976550914,SMQureshi KashmirIssue US JoeBiden IndiaIllegallyOccupiedKashmir Official,Nawaiwaqt_,0
29,2021-02-13 04:46:01+00:00,1360450128826490880,Listen to CAPITOL RIOTERS MENTAL HEALTH ASSESSMENT Trump s Words Mattered Kyle Rittenhouse horrible update by Grandpa Jim fearthedeer kuwtk australia abc2020 60minutes chester manchester usa london joebiden capitol,SOAR12steps,-1
30,2021-02-13 04:44:27+00:00,1360449734968770560,Mexico s President supports decision to stop new BorderWall Construction Almost everyone has made their sections of the wall and now President JoeBiden has decided that he is no longer going to build a wall on the border So it is historic,tameryazar,1
31,2021-02-13 04:43:24+00:00,1360449472489283584,Joe what happened to You PROMISING TO FIRE ON THE SPOT So much for MeToo as your sr Staffer threatened to ruin a reporters life for doing her job JoeBiden,Mountain_Views,1
32,2021-02-13 04:42:43+00:00,1360449299742658560,News JoeBiden,AndrewThrashes,0
33,2021-02-13 04:40:00+00:00,1360448614280163328,President Biden stops funding of Trump s border wall project JoeBiden DonaldTrump UnitedStates BorderWall Mexico USA,TPE_connect,0
34,2021-02-13 04:38:39+00:00,1360448277045530630,For the black community JoeBiden with his crime bill is the uncle who abused half the children in the family but still gets invited to the family picnic because Aunt Milly refuses to let anybody talk about it,drboycewatkins1,-1
35,2021-02-13 04:36:47+00:00,1360447805794504706,Joe Biden as US President makes his first trip to rustic Camp David SUCH TV JoeBiden USPresidentMrJoeBiden,Suchtvnews,1
36,2021-02-13 04:36:34+00:00,1360447753470554115,All this talk about Democrats HATING TRUMP from the start To clue you in There are LOTS of Republican senators and congressmen that HATE trump ruining the Party But being weak on ethics they vote their pocketbooks keep their jobs JoeBiden JoeBidenPresident BidenHarris,Truth20The,-1
37,2021-02-13 04:33:22+00:00,1360446946339508226,Oh HELL NO WATCH JoeBiden Moves the Goalposts Pushes Mask Mandate From 100 Days to Through the Next Year,LadyRedWave,0
38,2021-02-13 04:30:59+00:00,1360446345056645120,Democratic Senator JoeManchin aka CoalSenator from WestVirginia who is in bed with T coal companies in T region wants JoeBiden to reverse T revoked KeystoneXLPipeline Do not have a bad start HE President High paying jobs vs T Dying World,GamiGreenGlobe,-1
39,2021-02-13 04:30:10+00:00,1360446141167357952,JoeBiden CCPChina,InnMpc,0
40,2021-02-13 04:30:00+00:00,1360446097861341188,Man charged for threatening to kill Joe Biden NorthCarolina UnitedStates USA JoeBiden,TPE_connect,0
41,2021-02-13 04:28:20+00:00,1360445680343420932,President did not golf today Days in office 24 Days golfed 0 potus potus46 joebiden potusdidntgolf,POTUS_Golfing,0
