,Date,Tweet Id,Text,Username
21,2021-02-11 05:38:37+00:00,1359738592017305611,"மியான்மர் ராணுவ ஆட்சிக்கு எதிராக பொருளாதார தடை விதித்தது அமெரிக்கா
#EconomicSanctions, #JoeBiden #MyanmarCoup #UsGovt , #Myanmar
https://t.co/YcN0QWEWQT

https://t.co/CAgTMq0SVR",ippodhu
22,2021-02-11 05:38:06+00:00,1359738460278378505,Question: what was on #HunterBiden laptop? We have not forgotten! #HunterBidensLaptop #Biden #corruption #JoeBiden,klassyykaryn
23,2021-02-11 05:34:18+00:00,1359737504241393665,"#GoHeadlines- देखिए इस वक़्त की बड़ी खबरें
#TopNews

#FarmersProtests #SanuktKisanMorcha #JoeBiden #America #Myanmar #AmericaChina @TwitterIndia #BhimaKoaregaonCase 

MORE @ https://t.co/KVzK4f5PRd https://t.co/eq2i1q1BdU",GoNewsHindi
24,2021-02-11 05:33:58+00:00,1359737419365556225,"@BernieSanders What's your stand on #JCPOA ? Do you agree with #JoeBiden's continuation of #Trump's policy over #Iran deal ?!

#Democrats 
#Republicans 
#US",zahidali_ali
25,2021-02-11 05:31:33+00:00,1359736810784649217,"#China President #Xi told #US President #JoeBiden to ""STAY AWAY"" from mainland, #HongKong and #Taiwan... 🤦‍♀️ #ChineseDemocracy at work... https://t.co/FY3WbGcKKd",caa1000
26,2021-02-11 05:31:29+00:00,1359736795139723266,@GummyMimi YOU STUPID BITCH DON’T EVER TEXT SOMEONE YOU DON’T KNOW  AND CALL THEM THE N WORD!!!!! ESPECIALLY SINCE THEY LIVE IN ANOTHER STATE AND DON’T  KNOW YOU!!!! Grow up you stupid Troll !!! #JoeBiden #BlackLivesMatter #youpickedtheworngperson https://t.co/m9WwqSTukk,Lolai6400
27,2021-02-11 05:29:57+00:00,1359736412040359939,"Schumer, a REAL racist, in 1974 Flatbush New York, concocted a scheme to force blacks out of their homes as a trade off for votes.
#seanhannity #tuckercarlsontonight #gop #ingrahamangle #democrats #trump2024  #maga #joebiden #Biden #dems #potus https://t.co/t2g9iouw2U",rcs1218
28,2021-02-11 05:29:41+00:00,1359736343253798916,"Capital police officer died on Jan 6  NOT Hit w/ fire ext.Actually texted bro  fm his office much later, said he h’d been pepper sprayed but was OK.died of stroke (?)
#seanhannity #tuckercarlsontonight #gop #ingrahamangle #democrats #trump2024  #maga #joebiden #Biden #dems #potus https://t.co/GZ5L3zVPjh",rcs1218
29,2021-02-11 05:29:28+00:00,1359736286848774147,"Tales of officer’s beating shown to be not true. No signs of damage to his body when later examined in his office. The tale was entirely concocted by #Dems
#seanhannity #tuckercarlsontonight #gop #ingrahamangle #democrats #trump2024  #maga #joebiden #Biden #dems #potus https://t.co/5p6HMe59Kk",rcs1218
30,2021-02-11 05:29:26+00:00,1359736281354354688,@BBCWorld Wake up #joebiden ! China #CCP already lied and fooled America hundred of times! #biden need to held them accountable to the death millions over this #WuhanVirus,coolplanet7
